date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2025-01-02,CTG,0.634,25.73,0.08,0.077,21,1,tp
2025-01-02,DXG,0.672,11.29,-0.05,-0.053,3,0,sl
2025-01-02,FPT,0.631,127.94,-0.05,-0.053,22,0,sl
2025-01-02,GVR,0.6368,30.07,-0.05,-0.053,3,0,sl
2025-01-02,HDB,0.6756,19.35,-0.05,-0.053,4,0,sl
2025-01-02,STB,0.7454,37.0,-0.05,-0.053,7,0,sl
2025-01-07,FRT,0.6564,141.34,-0.05,-0.053,5,0,sl
2025-01-07,REE,0.6313,47.57,0.0416,0.0386,25,0,time
2025-01-08,DXG,0.6298,11.25,-0.05,-0.053,3,0,sl
2025-01-08,GVR,0.8416,28.25,0.08,0.077,22,1,tp
2025-01-09,HDB,0.7028,17.23,-0.05,-0.053,2,0,sl
2025-01-16,SAB,0.7444,45.58,-0.05,-0.053,17,0,sl
2025-01-21,ACB,0.666,17.96,0.0479,0.0449,25,0,time
2025-01-21,BID,0.6302,36.42,0.025,0.022,25,0,time
2025-01-22,MBB,0.6399,13.11,0.08,0.077,19,1,tp
2025-02-06,VND,0.6291,12.15,0.08,0.077,13,1,tp
2025-02-10,MWG,0.6545,55.72,-0.05,-0.053,4,0,sl
2025-02-13,KDH,0.7069,30.73,-0.05,-0.053,19,0,sl
2025-02-18,HCM,0.6425,19.76,0.08,0.077,11,1,tp
2025-02-19,TCB,0.6598,24.9,0.08,0.077,13,1,tp
2025-02-20,MWG,0.6299,55.04,0.08,0.077,10,1,tp
2025-02-24,REE,0.63,55.05,-0.05,-0.053,17,0,sl
2025-02-26,CTG,0.6326,27.93,0.0143,0.0113,25,0,time
2025-02-27,DGC,0.7948,106.16,-0.05,-0.053,15,0,sl
2025-03-03,FRT,0.6673,138.29,-0.05,-0.053,15,0,sl
2025-03-04,DXG,0.6394,12.18,-0.05,-0.053,22,0,sl
2025-03-04,STB,0.6434,39.2,-0.05,-0.053,22,0,sl
2025-03-05,VCI,0.6308,26.89,-0.05,-0.053,22,0,sl
2025-03-06,VHM,0.6399,20.99,0.08,0.077,4,1,tp
2025-03-07,HCM,0.6401,21.52,-0.05,-0.053,14,0,sl
2025-03-10,FPT,0.6635,117.25,-0.05,-0.053,4,0,sl
2025-03-10,MWG,0.7673,60.38,-0.05,-0.053,7,0,sl
2025-03-11,TCB,0.7512,26.72,-0.05,-0.053,17,0,sl
2025-03-12,BID,0.6288,37.43,-0.05,-0.053,13,0,sl
2025-03-13,DPM,0.6955,18.47,-0.05,-0.053,15,0,sl
2025-03-17,FPT,0.7225,109.42,-0.05,-0.053,7,0,sl
2025-03-17,GVR,0.6371,32.58,-0.05,-0.053,13,0,sl
2025-03-17,VHM,0.6364,23.02,0.08,0.077,6,1,tp
2025-03-18,HSG,0.6458,13.68,-0.05,-0.053,8,0,sl
2025-03-18,POW,0.653,10.66,-0.05,-0.053,12,0,sl
2025-03-19,VIC,0.6452,25.95,0.08,0.077,3,1,tp
2025-03-24,VRE,0.6444,18.5,-0.05,-0.053,9,0,sl
2025-03-25,VIC,0.7331,28.45,-0.05,-0.053,8,0,sl
2025-03-26,FRT,0.6745,129.37,-0.05,-0.053,4,0,sl
2025-03-27,VHM,0.6623,24.65,-0.05,-0.053,6,0,sl
2025-04-04,CTG,0.6306,26.14,-0.05,-0.053,1,0,sl
2025-04-04,MSN,0.6445,58.0,-0.05,-0.053,1,0,sl
2025-04-08,MSN,0.6318,54.0,-0.05,-0.053,1,0,sl
2025-04-09,CTG,0.6487,22.83,0.08,0.077,2,1,tp
2025-04-10,TCB,0.6347,24.09,-0.05,-0.053,8,0,sl
2025-04-16,POW,0.6826,9.84,-0.05,-0.053,4,0,sl
2025-04-23,POW,0.7378,9.88,0.08,0.077,7,1,tp
2025-04-24,GVR,0.6374,23.22,0.08,0.077,7,1,tp
2025-05-12,VCB,0.6308,55.73,0.0,-0.003,25,0,time
2025-05-14,DCM,0.6869,30.14,0.08,0.077,25,1,tp
2025-05-14,POW,0.6427,10.66,0.08,0.077,15,1,tp
2025-05-15,FRT,0.6297,133.34,-0.05,-0.053,5,0,sl
2025-05-15,VHM,0.7141,27.93,0.08,0.077,3,1,tp
2025-05-16,VRE,0.6414,23.66,0.08,0.077,8,1,tp
2025-05-19,TPB,0.6417,12.81,-0.05,-0.053,10,0,sl
2025-05-21,FPT,0.6631,99.58,-0.0017,-0.0047,25,0,time
2025-05-22,PNJ,0.6344,51.25,0.08,0.077,6,1,tp
2025-05-23,HDB,0.6507,17.04,-0.0135,-0.0165,25,0,time
2025-05-23,MSN,0.6307,63.2,0.08,0.077,22,1,tp
2025-05-23,TCB,0.6386,28.77,0.08,0.077,17,1,tp
2025-05-23,VIC,0.677,46.5,-0.05,-0.053,1,0,sl
2025-05-26,FRT,0.6814,123.58,0.08,0.077,11,1,tp
