date,symbol,prob,entry,gross_ret,net_ret,hold_days,win,exit_reason
2025-01-02,FRT,0.5345,142.33,-0.05,-0.053,8,0,sl
2025-01-21,FRT,0.5433,146.67,0.08,0.077,3,1,tp
2025-01-24,NLG,0.5489,32.34,-0.05,-0.053,2,0,sl
2025-02-03,FRT,0.5945,156.19,-0.05,-0.053,2,0,sl
2025-02-04,VND,0.534,11.68,0.08,0.077,12,1,tp
2025-02-07,CTG,0.5537,27.56,0.0366,0.0336,25,0,time
2025-02-14,PLX,0.5343,39.56,-0.0248,-0.0278,25,0,time
2025-02-14,VCI,0.5356,25.62,0.08,0.077,14,1,tp
2025-02-20,GVR,0.5581,31.89,0.08,0.077,19,1,tp
2025-02-24,REE,0.5684,55.05,-0.05,-0.053,17,0,sl
2025-02-24,VND,0.5562,12.77,0.08,0.077,12,1,tp
2025-02-25,HCM,0.5646,20.69,-0.0048,-0.0078,25,0,time
2025-02-27,DXG,0.55,11.96,-0.05,-0.053,25,0,sl
2025-02-27,HSG,0.5925,14.31,-0.05,-0.053,14,0,sl
2025-02-28,NLG,0.5335,30.79,-0.05,-0.053,3,0,sl
2025-03-03,VHM,0.5641,20.49,0.08,0.077,7,1,tp
2025-03-05,VRE,0.5337,17.14,0.08,0.077,6,1,tp
2025-03-06,MWG,0.5369,60.09,-0.05,-0.053,17,0,sl
2025-03-07,MBB,0.5392,14.73,-0.05,-0.053,19,0,sl
2025-03-07,VCI,0.5524,28.23,-0.05,-0.053,19,0,sl
2025-03-07,VIC,0.6245,22.65,0.08,0.077,4,1,tp
2025-03-11,TCB,0.5377,26.72,-0.05,-0.053,17,0,sl
2025-03-12,VCB,0.5583,65.67,-0.05,-0.053,16,0,sl
2025-03-14,VHM,0.6398,23.06,0.08,0.077,7,1,tp
2025-03-14,VIC,0.6448,26.1,-0.05,-0.053,3,0,sl
2025-03-14,VND,0.5698,14.09,-0.05,-0.053,15,0,sl
2025-03-17,VRE,0.5805,18.06,0.08,0.077,6,1,tp
2025-03-18,POW,0.5329,10.66,-0.05,-0.053,12,0,sl
2025-03-20,VIC,0.6102,25.75,0.08,0.077,2,1,tp
2025-03-24,VIC,0.5814,28.35,-0.05,-0.053,9,0,sl
2025-03-25,VHM,0.6154,24.8,-0.05,-0.053,8,0,sl
2025-03-27,VRE,0.5504,18.98,-0.05,-0.053,6,0,sl
2025-04-11,NLG,0.5367,26.0,-0.05,-0.053,4,0,sl
2025-04-11,PDR,0.5505,15.74,-0.05,-0.053,3,0,sl
2025-04-18,FRT,0.552,111.62,0.08,0.077,2,1,tp
2025-04-18,VRE,0.5358,19.7,-0.05,-0.053,2,0,sl
2025-04-21,VIC,0.5575,30.75,-0.05,-0.053,1,0,sl
2025-04-22,DCM,0.5437,27.46,0.08,0.077,6,1,tp
2025-04-22,DGC,0.562,84.5,0.0193,0.0163,25,0,time
2025-04-22,DXG,0.5461,10.5,0.08,0.077,5,1,tp
2025-04-22,FPT,0.5365,92.93,0.08,0.077,12,1,tp
2025-04-22,FRT,0.6524,121.75,0.08,0.077,6,1,tp
2025-04-22,MSN,0.5563,58.7,0.08,0.077,13,1,tp
2025-04-22,MWG,0.5678,55.62,0.08,0.077,4,1,tp
2025-04-22,PNJ,0.5325,43.59,0.08,0.077,7,1,tp
2025-04-22,POW,0.5546,9.79,0.08,0.077,8,1,tp
2025-04-22,REE,0.5372,50.23,0.08,0.077,17,1,tp
2025-04-22,STB,0.5516,40.65,-0.05,-0.053,8,0,sl
2025-04-22,VHM,0.5612,27.69,0.08,0.077,3,1,tp
2025-04-22,VND,0.5625,14.13,0.08,0.077,22,1,tp
2025-04-22,VRE,0.5737,19.9,0.08,0.077,2,1,tp
2025-04-23,GVR,0.5598,22.82,0.08,0.077,6,1,tp
2025-04-23,HSG,0.5616,10.27,0.08,0.077,5,1,tp
2025-04-23,NLG,0.5549,24.4,0.08,0.077,7,1,tp
2025-04-23,PDR,0.5401,14.44,0.08,0.077,9,1,tp
2025-04-24,VIC,0.5419,31.35,0.08,0.077,2,1,tp
2025-04-28,VRE,0.5652,22.31,0.08,0.077,3,1,tp
2025-05-05,DCM,0.5626,30.27,-0.0149,-0.0179,25,0,time
2025-05-05,FRT,0.6154,131.43,-0.05,-0.053,13,0,sl
2025-05-05,GVR,0.5788,24.5,0.08,0.077,4,1,tp
2025-05-05,HSG,0.5981,11.27,0.08,0.077,8,1,tp
2025-05-05,NLG,0.5482,25.73,0.08,0.077,3,1,tp
2025-05-05,VRE,0.5823,24.05,-0.05,-0.053,8,0,sl
2025-05-07,DXG,0.5386,12.0,0.08,0.077,13,1,tp
2025-05-07,PDR,0.5324,15.37,-0.05,-0.053,13,0,sl
2025-05-12,GVR,0.5988,27.56,-0.05,-0.053,10,0,sl
2025-05-12,NLG,0.5498,28.12,0.08,0.077,6,1,tp
2025-05-13,PNJ,0.5684,53.4,-0.05,-0.053,8,0,sl
2025-05-14,FPT,0.5577,106.31,-0.05,-0.053,3,0,sl
2025-05-14,TCB,0.5551,28.48,0.08,0.077,23,1,tp
2025-05-14,VPB,0.557,18.08,-0.05,-0.053,8,0,sl
2025-05-19,HSG,0.5898,12.5,-0.05,-0.053,10,0,sl
2025-05-20,POW,0.5327,10.79,0.0037,0.0007,25,0,time
2025-05-22,NLG,0.5765,30.52,0.08,0.077,5,1,tp
2025-05-27,DXG,0.5644,13.31,0.08,0.077,6,1,tp
2025-05-27,PDR,0.5596,16.3,-0.05,-0.053,13,0,sl
2025-05-27,VHM,0.5441,35.78,-0.05,-0.053,10,0,sl
2025-05-28,GVR,0.5538,29.23,-0.05,-0.053,8,0,sl
2025-05-29,VIC,0.5352,48.5,-0.05,-0.053,7,0,sl
2025-06-02,NLG,0.5877,33.71,-0.05,-0.053,15,0,sl
2025-06-02,PNJ,0.5355,50.8,-0.05,-0.053,5,0,sl
2025-06-03,GAS,0.5323,61.94,-0.05,-0.053,6,0,sl
2025-06-03,VND,0.5422,16.44,-0.05,-0.053,3,0,sl
2025-06-04,HSG,0.5437,12.42,0.08,0.077,21,1,tp
2025-06-06,DXG,0.606,13.9,-0.05,-0.053,5,0,sl
2025-06-10,VIC,0.5463,45.3,-0.05,-0.053,2,0,sl
2025-06-13,GVR,0.5433,26.82,0.08,0.077,3,1,tp
2025-06-13,PLX,0.5513,36.4,0.08,0.077,6,1,tp
2025-06-16,DGC,0.5349,93.89,0.08,0.077,23,1,tp
2025-06-16,DXG,0.5474,13.99,0.08,0.077,9,1,tp
2025-06-16,GAS,0.5348,64.86,-0.0204,-0.0234,25,0,time
2025-06-16,VIC,0.5629,42.7,0.08,0.077,5,1,tp
2025-06-17,DPM,0.5574,19.87,0.08,0.077,24,1,tp
2025-06-17,PDR,0.538,16.62,0.08,0.077,17,1,tp
2025-06-17,STB,0.5354,46.0,0.08,0.077,23,1,tp
2025-06-18,VHM,0.5341,34.38,0.08,0.077,4,1,tp
2025-06-20,TCB,0.5434,32.44,0.0355,0.0325,25,0,time
2025-06-23,DCM,0.5441,32.86,0.0271,0.0241,25,0,time
2025-06-23,GVR,0.5463,29.38,0.08,0.077,7,1,tp
2025-06-23,PLX,0.5552,38.81,-0.05,-0.053,1,0,sl
2025-06-24,CTG,0.5437,28.06,0.08,0.077,11,1,tp
2025-06-24,MSN,0.5365,69.2,0.08,0.077,3,1,tp
2025-06-25,VHM,0.5525,37.51,-0.05,-0.053,2,0,sl
2025-06-25,VIC,0.5827,47.9,-0.05,-0.053,8,0,sl
2025-06-30,DXG,0.5606,14.82,0.08,0.077,11,1,tp
2025-06-30,MSN,0.5875,76.8,-0.05,-0.053,21,0,sl
2025-06-30,VHM,0.557,36.93,0.08,0.077,8,1,tp
2025-07-03,HCM,0.5524,19.67,0.08,0.077,6,1,tp
2025-07-08,HPG,0.5412,22.05,0.08,0.077,9,1,tp
2025-07-08,HSG,0.5351,13.58,0.08,0.077,11,1,tp
2025-07-08,SSI,0.554,19.21,0.08,0.077,3,1,tp
2025-07-09,ACB,0.5502,19.34,0.08,0.077,19,1,tp
2025-07-09,HDB,0.5729,18.66,0.08,0.077,10,1,tp
2025-07-09,TPB,0.5716,14.19,0.08,0.077,13,1,tp
2025-07-09,VCB,0.5586,60.55,0.0162,0.0132,25,0,time
2025-07-09,VPB,0.5374,19.7,0.08,0.077,8,1,tp
2025-07-10,VIC,0.5711,50.8,0.08,0.077,2,1,tp
2025-07-10,VRE,0.5529,27.48,-0.05,-0.053,14,0,sl
2025-07-11,BID,0.5357,35.05,0.08,0.077,22,1,tp
2025-07-11,CTG,0.565,30.12,0.08,0.077,17,1,tp
2025-07-11,VCI,0.5644,29.75,0.08,0.077,11,1,tp
2025-07-14,HCM,0.6119,21.2,0.08,0.077,10,1,tp
2025-07-14,PDR,0.5331,18.19,0.08,0.077,3,1,tp
2025-07-14,SSI,0.6104,21.12,0.08,0.077,4,1,tp
2025-07-14,VHM,0.5847,42.76,0.08,0.077,4,1,tp
2025-07-14,VIC,0.5995,56.5,0.08,0.077,3,1,tp
2025-07-15,MWG,0.5421,67.27,-0.0046,-0.0076,25,0,time
2025-07-15,VND,0.5514,17.59,0.08,0.077,6,1,tp
2025-07-17,DXG,0.5899,17.37,-0.05,-0.053,3,0,sl
2025-07-17,NLG,0.5351,37.17,-0.05,-0.053,3,0,sl
2025-07-21,SSI,0.5919,22.26,0.08,0.077,4,1,tp
2025-07-21,VHM,0.5849,44.3,0.08,0.077,23,1,tp
2025-07-21,VIC,0.5889,56.0,-0.05,-0.053,8,0,sl
2025-07-22,DPM,0.5409,21.77,0.08,0.077,11,1,tp
2025-07-22,HPG,0.5561,23.61,-0.05,-0.053,6,0,sl
2025-07-22,VPB,0.5999,22.11,0.08,0.077,4,1,tp
2025-07-23,DXG,0.5456,16.93,0.08,0.077,3,1,tp
2025-07-23,VNM,0.5394,57.07,-0.05,-0.053,22,0,sl
2025-07-24,MBB,0.5445,17.07,-0.05,-0.053,3,0,sl
2025-07-25,HDB,0.6031,21.78,-0.05,-0.053,2,0,sl
2025-07-25,HSG,0.549,14.35,0.08,0.077,12,1,tp
2025-07-25,POW,0.539,11.78,0.08,0.077,10,1,tp
2025-07-25,VND,0.5743,20.56,0.08,0.077,2,1,tp
2025-07-28,SSI,0.5483,25.42,-0.05,-0.053,1,0,sl
2025-07-28,VCI,0.5366,32.58,-0.05,-0.053,1,0,sl
2025-07-29,VND,0.5653,20.46,0.08,0.077,2,1,tp
2025-08-04,DXG,0.5401,17.54,-0.05,-0.053,1,0,sl
2025-08-04,HDB,0.5343,21.59,0.08,0.077,8,1,tp
2025-08-04,VIC,0.5976,55.6,0.08,0.077,3,1,tp
2025-08-04,VND,0.5628,22.6,-0.05,-0.053,1,0,sl
2025-08-05,HCM,0.5358,22.51,0.08,0.077,3,1,tp
2025-08-05,PDR,0.5324,19.0,0.08,0.077,3,1,tp
2025-08-05,STB,0.5374,51.7,0.08,0.077,7,1,tp
2025-08-05,VCI,0.5426,33.2,-0.05,-0.053,11,0,sl
2025-08-05,VPB,0.5492,26.04,0.08,0.077,2,1,tp
2025-08-06,DCM,0.5527,36.4,0.08,0.077,2,1,tp
2025-08-06,TPB,0.5447,17.33,0.08,0.077,2,1,tp
2025-08-07,DXG,0.5472,18.07,0.08,0.077,2,1,tp
2025-08-07,VND,0.5599,22.89,0.08,0.077,6,1,tp
2025-08-11,DCM,0.5587,38.34,0.08,0.077,5,1,tp
2025-08-11,DPM,0.5501,26.36,-0.05,-0.053,7,0,sl
2025-08-11,KDH,0.5362,32.0,0.08,0.077,2,1,tp
2025-08-11,MBB,0.533,19.12,0.08,0.077,2,1,tp
2025-08-11,TPB,0.5634,18.62,-0.05,-0.053,2,0,sl
2025-08-11,VIC,0.6101,57.75,0.08,0.077,4,1,tp
2025-08-11,VPB,0.5351,29.08,-0.05,-0.053,2,0,sl
2025-08-12,DXG,0.5655,18.9,-0.05,-0.053,4,0,sl
2025-08-12,HCM,0.533,23.53,-0.05,-0.053,9,0,sl
2025-08-12,HSG,0.5381,15.27,-0.05,-0.053,6,0,sl
2025-08-12,MSN,0.5416,83.6,-0.05,-0.053,9,0,sl
2025-08-12,POW,0.5731,13.35,-0.05,-0.053,6,0,sl
2025-08-12,TCB,0.5319,35.97,0.08,0.077,6,1,tp
2025-08-13,NLG,0.5342,41.85,-0.05,-0.053,2,0,sl
2025-08-13,PDR,0.5415,24.2,0.08,0.077,4,1,tp
2025-08-13,VRE,0.5353,28.44,0.0,-0.003,25,0,time
2025-08-14,ACB,0.5588,22.57,0.08,0.077,3,1,tp
2025-08-14,CTG,0.5371,33.91,-0.018,-0.021,25,0,time
2025-08-14,SSI,0.5349,26.13,-0.05,-0.053,4,0,sl
2025-08-15,KDH,0.5972,35.5,-0.05,-0.053,5,0,sl
2025-08-15,MBB,0.6121,22.63,-0.05,-0.053,6,0,sl
2025-08-15,TPB,0.5729,18.57,0.08,0.077,2,1,tp
2025-08-18,NLG,0.5524,40.27,-0.05,-0.053,2,0,sl
2025-08-18,VIC,0.6146,59.1,0.08,0.077,5,1,tp
2025-08-19,DXG,0.5831,19.08,-0.05,-0.053,1,0,sl
2025-08-19,TPB,0.5431,20.24,-0.05,-0.053,1,0,sl
2025-08-19,VND,0.5396,24.05,-0.05,-0.053,1,0,sl
2025-08-20,ACB,0.5838,24.12,-0.05,-0.053,3,0,sl
2025-08-20,PDR,0.5608,24.5,-0.05,-0.053,2,0,sl
2025-08-21,HDB,0.535,25.64,-0.05,-0.053,1,0,sl
2025-08-21,STB,0.5478,57.8,-0.05,-0.053,1,0,sl
2025-08-22,DXG,0.5583,17.68,0.08,0.077,3,1,tp
2025-08-22,NLG,0.5651,38.03,-0.05,-0.053,12,0,sl
2025-08-22,POW,0.5593,13.64,-0.05,-0.053,1,0,sl
2025-08-22,VND,0.573,21.82,-0.05,-0.053,1,0,sl
2025-08-25,PDR,0.5524,23.2,0.08,0.077,2,1,tp
2025-08-25,POW,0.5361,13.14,0.08,0.077,6,1,tp
2025-08-25,VCI,0.5337,31.02,0.08,0.077,3,1,tp
2025-08-25,VHM,0.59,47.38,0.08,0.077,2,1,tp
2025-08-25,VND,0.5981,20.9,0.08,0.077,2,1,tp
2025-08-27,TPB,0.5439,19.24,0.08,0.077,5,1,tp
2025-08-27,VIC,0.644,66.0,-0.05,-0.053,3,0,sl
2025-08-28,DXG,0.5343,20.09,-0.05,-0.053,20,0,sl
2025-08-29,VHM,0.6246,50.32,-0.05,-0.053,2,0,sl
2025-09-03,VHM,0.5963,49.45,-0.05,-0.053,13,0,sl
2025-09-03,VIC,0.6088,62.5,0.08,0.077,6,1,tp
2025-09-04,POW,0.547,13.84,-0.05,-0.053,2,0,sl
2025-09-05,PDR,0.5335,25.1,-0.05,-0.053,1,0,sl
2025-09-05,TPB,0.5335,19.62,-0.05,-0.053,1,0,sl
2025-09-05,VND,0.5659,24.3,-0.05,-0.053,2,0,sl
2025-09-08,DCM,0.5328,35.64,-0.05,-0.053,18,0,sl
2025-09-08,PDR,0.5851,23.4,0.08,0.077,13,1,tp
2025-09-08,POW,0.541,12.56,-0.05,-0.053,16,0,sl
2025-09-08,TPB,0.5704,18.43,-0.05,-0.053,10,0,sl
2025-09-08,VCI,0.5478,31.2,0.0221,0.0191,25,0,time
2025-09-08,VPB,0.5494,30.65,-0.05,-0.053,10,0,sl
2025-09-09,KDH,0.5385,34.8,-0.05,-0.053,7,0,sl
2025-09-09,NLG,0.5435,37.67,-0.05,-0.053,2,0,sl
2025-09-09,VND,0.5849,23.81,-0.05,-0.053,2,0,sl
2025-09-10,STB,0.5326,53.9,0.08,0.077,15,1,tp
2025-09-11,HSG,0.5378,15.38,-0.05,-0.053,7,0,sl
2025-09-15,VIC,0.6239,68.9,0.08,0.077,3,1,tp
2025-09-15,VND,0.5509,23.91,-0.05,-0.053,3,0,sl
2025-09-22,VIC,0.6766,74.4,0.08,0.077,4,1,tp
2025-09-22,VND,0.5619,21.53,0.08,0.077,11,1,tp
2025-09-23,VHM,0.5729,47.52,0.08,0.077,11,1,tp
2025-09-24,TPB,0.5369,18.71,-0.05,-0.053,3,0,sl
2025-09-24,VPB,0.5493,31.05,-0.05,-0.053,7,0,sl
2025-09-29,DXG,0.578,19.17,-0.05,-0.053,1,0,sl
2025-09-29,VIC,0.6852,86.4,0.08,0.077,5,1,tp
2025-09-30,PDR,0.5325,23.45,-0.05,-0.053,3,0,sl
2025-09-30,VRE,0.5533,31.0,0.08,0.077,4,1,tp
2025-10-02,DXG,0.5572,17.63,0.08,0.077,10,1,tp
2025-10-06,SSI,0.5319,29.31,-0.05,-0.053,10,0,sl
2025-10-07,VRE,0.6343,33.8,0.08,0.077,2,1,tp
2025-10-08,VIC,0.7149,89.05,0.08,0.077,3,1,tp
2025-10-09,VND,0.5406,22.84,-0.05,-0.053,7,0,sl
2025-10-10,FRT,0.5627,136.76,-0.05,-0.053,6,0,sl
2025-10-10,VHM,0.672,59.22,-0.05,-0.053,5,0,sl
2025-10-13,PDR,0.5348,24.65,0.08,0.077,3,1,tp
2025-10-13,VRE,0.6879,41.53,-0.05,-0.053,4,0,sl
2025-10-14,MWG,0.5367,82.91,-0.05,-0.053,4,0,sl
2025-10-14,VIC,0.6975,105.95,-0.05,-0.053,3,0,sl
2025-10-15,VPB,0.5359,33.11,-0.05,-0.053,2,0,sl
2025-10-16,NLG,0.5407,37.8,-0.05,-0.053,2,0,sl
2025-10-16,PNJ,0.5754,60.81,-0.05,-0.053,2,0,sl
2025-10-17,MSN,0.5424,88.0,-0.05,-0.053,1,0,sl
2025-10-20,DXG,0.5801,18.47,-0.05,-0.053,1,0,sl
2025-10-20,PDR,0.5461,24.2,-0.05,-0.053,1,0,sl
2025-10-20,VHM,0.6249,52.0,0.08,0.077,3,1,tp
2025-10-20,VIC,0.7034,97.45,0.08,0.077,3,1,tp
2025-10-20,VPB,0.5328,29.23,-0.05,-0.053,6,0,sl
2025-10-20,VRE,0.5895,36.85,-0.05,-0.053,5,0,sl
2025-10-21,FRT,0.5323,131.62,0.08,0.077,6,1,tp
2025-10-21,NLG,0.5353,36.06,0.08,0.077,7,1,tp
2025-10-21,VND,0.5485,20.46,-0.05,-0.053,3,0,sl
2025-10-23,DXG,0.5868,17.59,-0.05,-0.053,7,0,sl
2025-10-23,PDR,0.5422,23.6,-0.05,-0.053,2,0,sl
2025-10-27,PDR,0.5419,22.05,-0.05,-0.053,1,0,sl
2025-10-27,VHM,0.6061,51.28,-0.05,-0.053,1,0,sl
2025-10-27,VIC,0.675,107.0,-0.05,-0.053,1,0,sl
2025-10-29,VRE,0.6208,34.72,-0.05,-0.053,1,0,sl
2025-10-30,VHM,0.6131,50.08,-0.05,-0.053,2,0,sl
2025-10-30,VIC,0.7034,102.05,-0.05,-0.053,1,0,sl
2025-10-31,FPT,0.551,101.43,-0.05,-0.053,6,0,sl
2025-10-31,GVR,0.5393,28.64,-0.05,-0.053,2,0,sl
2025-11-03,DXG,0.6036,16.54,-0.05,-0.053,1,0,sl
2025-11-03,HDB,0.5521,23.56,0.08,0.077,23,1,tp
2025-11-03,PDR,0.5523,21.4,0.08,0.077,10,1,tp
