rank,symbol,sector,date,price_vnd,score,p_LogReg,p_RandomForest,p_GradBoost,p_XGBoost,p_LSTM,tp_price_vnd,sl_price_vnd,time_stop_days,rsi_14,trend_up,vol_ratio
1,GAS,Energy,2026-09-24,84200,0.5495,0.5481,0.5105,0.3856,0.4059,0.89747846,90936,79990,25,51.153785062195745,True,0.3404460096384813
2,PNJ,Retail/Consumer,2026-09-24,34100,0.5359,0.6131,0.4959,0.3807,0.3233,0.8664792,36828,32395,25,33.69957024246115,False,0.6041385725959978
3,VIC,RealEstate,2026-09-24,230500,0.5155,0.5756,0.5572,0.3722,0.3967,0.67555726,248940,218975,25,47.45373500609462,True,0.22517346532903168
4,KDH,RealEstate,2026-09-24,15700,0.4825,0.4763,0.5076,0.4502,0.4224,0.556019,16956,14915,25,33.10273606729885,False,0.3151768425428568
5,GVR,Materials,2026-09-24,33000,0.467,0.5547,0.4969,0.3538,0.3552,0.5743908,35640,31350,25,61.16077213988141,True,1.439124205707951
6,FRT,Retail/Consumer,2026-09-24,139300,0.4606,0.5061,0.5186,0.346,0.3534,0.57872695,150444,132335,25,55.670666328008245,True,0.4097898513582778
7,VRE,RealEstate,2026-09-24,24300,0.458,0.5053,0.4378,0.3268,0.2966,0.7236609,26244,23085,25,39.01604433332538,False,0.5158514078973816
8,VCI,Securities,2026-09-24,20000,0.4381,0.5055,0.4964,0.4077,0.4025,0.37850747,21600,19000,25,41.13649913640554,False,0.33269269407412067
9,VHM,RealEstate,2026-09-24,65600,0.4365,0.4856,0.4767,0.3522,0.3676,0.50037456,70848,62320,25,32.3720113574892,False,1.02666984065334
10,POW,Utilities,2026-09-24,12600,0.4214,0.4103,0.4565,0.317,0.3295,0.5939265,13608,11970,25,39.4704667504954,False,0.2438377260420022
11,PLX,Energy,2026-09-24,35500,0.4182,0.5273,0.5195,0.3911,0.3955,0.25750417,38340,33725,25,44.47305183617514,True,0.5207807616787633
12,REE,Utilities,2026-09-24,46900,0.418,0.4605,0.4749,0.3311,0.3547,0.4689448,50652,44555,25,57.601633330760016,True,0.4522417153996101
13,MSN,Retail/Consumer,2026-09-24,70800,0.4086,0.5064,0.4802,0.3362,0.3294,0.3907057,76464,67260,25,62.09864443517913,True,1.252806242806255
14,PDR,RealEstate,2026-09-24,11350,0.3985,0.4733,0.4807,0.38,0.3827,0.27602988,12258,10782,25,33.73236197090915,False,0.5498255848434037
15,MWG,Retail/Consumer,2026-09-24,72400,0.3959,0.4652,0.47,0.3203,0.333,0.3911864,78192,68780,25,49.266940565284074,True,0.23694108158377708
16,STB,Bank,2026-09-24,77400,0.3925,0.4601,0.5222,0.3662,0.3383,0.27555284,83592,73530,25,57.63022965755504,True,0.15998824233389672
17,HCM,Securities,2026-09-24,25050,0.3873,0.4347,0.4405,0.2679,0.2634,0.5298104,27054,23798,25,44.777702534893415,False,0.2038287138962194
18,BID,Bank,2026-09-24,35950,0.3866,0.4679,0.4435,0.337,0.3649,0.31960112,38826,34152,25,46.97095684239018,True,0.4112827273097104
19,SSI,Securities,2026-09-24,20700,0.3849,0.5047,0.4841,0.3631,0.377,0.19584034,22356,19665,25,50.44845435933833,True,0.44235518299253773
20,VNM,Retail/Consumer,2026-09-24,60900,0.3816,0.42,0.4357,0.2601,0.2427,0.5496464,65772,57855,25,50.51768345650722,True,0.2946631530244815
21,VND,Securities,2026-09-24,14400,0.3786,0.4502,0.4707,0.3234,0.3128,0.33590156,15552,13680,25,33.30578965920995,False,0.5540231000431561
22,TPB,Bank,2026-09-24,14550,0.3784,0.4603,0.4795,0.3744,0.3513,0.22631398,15714,13822,25,53.09210472226361,True,0.7083488474260397
23,DXG,RealEstate,2026-09-24,10200,0.3783,0.5005,0.4788,0.3497,0.3403,0.2222911,11016,9690,25,32.003979927860115,False,0.8319507521522856
24,VPB,Bank,2026-09-24,22250,0.3781,0.5308,0.4655,0.3026,0.2875,0.30434087,24030,21138,25,30.85138537432495,False,0.6463241508256866
25,SAB,Retail/Consumer,2026-09-24,44200,0.3761,0.4062,0.3912,0.2115,0.2283,0.6431378,47736,41990,25,44.996112926968586,False,0.28828982965663996
26,DCM,Materials,2026-09-24,34700,0.3749,0.5355,0.4772,0.2753,0.2583,0.32826683,37476,32965,25,67.50373269984935,True,0.36947150976739745
27,DGC,Materials,2026-09-24,35300,0.3738,0.5562,0.4863,0.3286,0.287,0.21098469,38124,33535,25,33.54279388705656,False,0.2215031119588527
28,HDB,Bank,2026-09-24,27600,0.3607,0.4432,0.4752,0.3054,0.3044,0.2754241,29808,26220,25,55.47301776767087,True,0.3710712021127651
29,DPM,Materials,2026-09-24,23050,0.3606,0.4791,0.4812,0.3215,0.3074,0.21401781,24894,21898,25,57.47855795039542,True,0.3209374956814947
30,TCB,Bank,2026-09-24,32950,0.3555,0.4817,0.4833,0.322,0.3192,0.17110083,35586,31303,25,56.854055173834446,True,0.37105367903462044
31,NLG,RealEstate,2026-09-24,22950,0.3532,0.4894,0.4075,0.3065,0.308,0.25469577,24786,21802,25,39.33794688124302,False,0.6275262732417138
32,CTG,Bank,2026-09-24,30250,0.3328,0.4418,0.3989,0.2562,0.2573,0.30993664,32670,28737,25,42.80146277683997,False,0.4966033358740142
33,VCB,Bank,2026-09-24,58300,0.3191,0.4304,0.3988,0.2792,0.3043,0.18276818,62964,55385,25,45.596890239616506,False,0.35419301442777856
34,FPT,Technology,2026-09-24,65300,0.319,0.4361,0.4003,0.221,0.1935,0.34404942,70524,62035,25,35.67877275822593,False,0.33347790305109626
35,MBB,Bank,2026-09-24,19950,0.2959,0.4266,0.4175,0.2585,0.2574,0.11933968,21546,18952,25,46.4093691097134,True,0.2583954251078492
36,ACB,Bank,2026-09-24,21450,0.2794,0.4178,0.3545,0.2193,0.2021,0.20317557,23166,20377,25,39.65595173134702,False,0.69881277439979
37,HSG,Materials,2026-09-24,10000,0.272,0.3763,0.3927,0.2524,0.2413,0.09713028,10800,9500,25,31.318437874987737,False,0.8760030806688033
38,HPG,Materials,2026-09-24,20900,0.2512,0.4175,0.3267,0.1879,0.1831,0.14087847,22572,19855,25,41.632898893682075,False,0.37686497617921955
